category,iPhone_units_millions,YOY growth,sales_id
Q2/07,0.27,,101
Q3/07,1.119,,102
Q4/07,2.315,,103
Q1/08,1.703,,104
Q2/08,0.717,165.56,105
Q3/08,6.892,515.91,106
Q4/08,4.363,88.47,107
Q1/09,3.793,122.72,108
Q2/09,5.208,626.36,109
Q3/09,7.367,6.89,110
Q4/09,8.737,100.25,111
Q1/10,8.752,130.74,112
Q2/10,8.398,61.25,113
Q3/10,14.102,91.42,114
Q4/10,16.235,85.82,115
Q1/11,18.647,113.06,116
Q2/11,20.338,142.18,117
Q3/11,17.073,21.07,118
Q4/11,37.044,128.17,119
Q1/12,35.064,88.04,120
Q2/12,26.028,27.98,121
Q3/12,26.91,57.62,122
Q4/12,47.789,29.01,123
Q1/13,37.43,6.75,124
Q2/13,31.241,20.03,125
Q3/13,33.797,25.59,126
Q4/13,51.025,6.77,127
Q1/14,43.719,16.8,128
Q2/14,35.203,12.68,129
Q3/14,39.272,16.2,130
Q4/14,74.468,45.94,131
Q1/15,61.17,39.92,132
Q2/15,47.534,35.03,133
Q3/15,48.046,22.34,134
Q4/15,74.779,0.42,135
Q1/16,51.193,-16.31,136
Q2/16,40.399,-15.01,137
